MapCoDoc: Fine-Grained Trace Link Recovery Between Source Code and API Reference Documentation

Q1. Please indicate whether or not you consent to participate.
Answer Choices,Response Percent,Responses
I consent to participate in the study.,100.0%,16
I do not consent and hence prefer not to participate.,0.0%,0
,Answered,16
,Skipped,0


"Q2. Do you consent to the potential use of your responses in future research? (The response will only be used in an aggregated format in future research papers, and we will not contact you in the future.)"
Answer Choices,Response Percent,Responses
Yes,100.0%,16
No,0.0%,0
,Answered,16
,Skipped,0


Q3. What is your gender?
Answer Choices,Response Percent,Responses
Man,68.75%,11
Woman,31.25%,5
Non-binary,0.0%,0
Prefer not to say,0.0%,0
,Answered,16
,Skipped,0


Q4. What is your current role?
Answer Choices,Response Percent,Responses
Software developer,56.25%,9
Documentation engineer,6.25%,1
Researcher,25.0%,4
Student,37.5%,6
Other (please specify),0.0%,0
,Answered,16
,Skipped,0


Q5. How many years of professional experience do you have in software engineering?
Answer Choices,Response Percent,Responses
0-1,12.5%,2
2-4,56.25%,9
5-9,31.25%,5
10+,0.0%,0
,Answered,16
,Skipped,0


Q6. How experienced are you in structuring or maintaining multi-module Python projects?
Answer Choices,Response Percent,Responses
Beginner,6.67%,1
Intermediate,33.33%,5
Advanced,20.0%,3
Expert,40.0%,6
,Answered,15
,Skipped,1


Q7. How experienced are you with producing API documentation?
Answer Choices,Response Percent,Responses
None,25.0%,4
Some,37.5%,6
Regular,25.0%,4
Expert,12.5%,2
,Answered,16
,Skipped,0


Q8. How familiar are you with Sphinx documentation generator tool?
Answer Choices,Response Percent,Responses
Not familiar,43.75%,7
Slightly familiar,18.75%,3
Moderately familiar,18.75%,3
Very familiar,12.5%,2
Expert,6.25%,1
,Answered,16
,Skipped,0


"Q9. Would you like to see an outline of Sphinx's essential components: what autodoc, autoapi, and viewcode do, and relevant config knobs (imported-members, noindex, autoapi_ignore, autoapi-skip-member)?"
Answer Choices,Response Percent,Responses
Yes,75.0%,12
No,25.0%,4
,Answered,16
,Skipped,0


Q10. Do you have a reasonable understanding of the package structure?
Answer Choices,Response Percent,Responses
I have a very good understanding,75.0%,12
I have a fair understanding,25.0%,4
I am confused,0.0%,0
,Answered,16
,Skipped,0


Q11. How well do you understand the Sphinx configuration process and the RST files that facilitate API name tracing and linking the code body to its docstring?
Answer Choices,Response Percent,Responses
I have a very good understanding,62.5%,10
I have a fair understanding,31.25%,5
I am confused,6.25%,1
,Answered,16
,Skipped,0


Q12. Sphinx is easy to learn to use in your Python projects.
Answer Choices,Response Percent,Responses
Strongly disagree,25.0%,4
Disagree,50.0%,8
Neutral,18.75%,3
Agree,0.0%,0
Strongly agree,6.25%,1
,Answered,16
,Skipped,0


Q13. Sphinx's learning curve negatively impacts software engineers' motivation to create and maintain documentation.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,6.25%,1
Agree,75.0%,12
Strongly agree,18.75%,3
,Answered,16
,Skipped,0


"Q14. The framework-specific Sphinx configuration (managing extensions, creating .rst files, and adding wrappers to skip objects) is an error-prone process."
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,100.0%,16
Strongly agree,0.0%,0
,Answered,16
,Skipped,0


Q15. The framework-specific Sphinx configurations are easy to maintain in a rapidly evolving software development lifecycle.
Answer Choices,Response Percent,Responses
Strongly disagree,12.5%,2
Disagree,62.5%,10
Neutral,25.0%,4
Agree,0.0%,0
Strongly Agree,0.0%,0
,Answered,16
,Skipped,0


Q16. To what extent would you be inclined to change your implementation design to adapt to Sphinx's behavior?
Answer Choices,Response Percent,Responses
I will produce the necessary configurations to produce the expected result,12.5%,2
I will slightly modify my implementation design to fit the needs of Sphinx,50.0%,8
I would make significant changes to my package structure so I can apply the bare minimum Sphinx configurations,37.5%,6
,Answered,16
,Skipped,0


Q17. Do you agree that documentation practices would improve if Sphinx supported trace-link retrieval from source code to external documentation (web and/or file documentation) during initial build?
Answer Choices,Response Percent,Responses
Yes,93.75%,15
No,0.0%,0
Not sure,6.25%,1
,Answered,16
,Skipped,0


Q18. Select all that apply regarding the side effects docstring-dependent trace-link retrieval has on documentation practices.
Answer Choices,Response Percent,Responses
Cluttered code files due to the practice of writing API reference documentation as docstrings.,93.75%,15
Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,75.0%,12
Reduced discoverability and navigability across code and documentation,68.75%,11
None of the above,6.25%,1
Other (please specify),0.0%,0
,Answered,16
,Skipped,0


"Q19. Would you like to see a brief description of MapCoDoc's input requirement from its user, and the code and documentation analysis workflow it employs to link artifacts?"
Answer Choices,Response Percent,Responses
Yes,100.0%,16
No,0.0%,0
,Answered,16
,Skipped,0


Q20. How well do you understand MapCoDoc's traceability workflow and its analysis result?
Answer Choices,Response Percent,Responses
I have a very good understanding,68.75%,11
I have a fair understanding,31.25%,5
I am confused,0.0%,0
,Answered,16
,Skipped,0


Q21. MapCoDoc is easy to learn to use for your Python project.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,56.25%,9
Strongly agree,43.75%,7
,Answered,16
,Skipped,0


Q22. Managing MapCoDoc input configuration to produce reliable trace-links is an error-prone process.
Answer Choices,Response Percent,Responses
Strongly disagree,37.5%,6
Disagree,62.5%,10
Neutral,0.0%,0
Agree,0.0%,0
Strongly Agree,0.0%,0
,Answered,16
,Skipped,0


Q23. The hybrid keyword-semantic link retrieval makes MapCoDoc adaptable to potential misalignment of signatures and API names in the documentation.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,12.5%,2
Agree,62.5%,10
Strongly agree,25.0%,4
,Answered,16
,Skipped,0


Q24. To what extent would you be inclined to change your implementation design to make MapCoDoc produce the desired canonical API names?
Answer Choices,Response Percent,Responses
I expect little or no source rework.,87.5%,14
I will make minor code adjustments (small aliases or wrappers) to improve the clarity of export chains.,6.25%,1
I would make significant structural changes to my package to force a particular canonical API shape.,6.25%,1
Other (please specify),0.0%,0
,Answered,16
,Skipped,0


Q25. MapCoDoc supports linking external documentation sources (published HTML pages or PDF documents) to code artifacts; would this capability improve documentation practices in your team?
Answer Choices,Response Percent,Responses
Yes,100.0%,16
No,0.0%,0
Not sure,0.0%,0
,Answered,16
,Skipped,0


Q26. Select all that apply: Which of the following are advantages of having a traceability pipeline that supports heterogeneous documentation formats?
Answer Choices,Response Percent,Responses
